Date,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,ULTRACEMCO.NS,WIPRO.NS
2022-11-30,3084.679931640625,899.636962890625,662.7249145507812,1016.7462768554688,1568.791015625,2597.98828125,937.0535278320312,1531.115234375,311.39923095703125,1943.3182373046875,2021.2879638671875,8807.298828125,1969.8936767578125,156.6488037109375,1260.517578125,569.7783203125,1019.3359985351562,3248.68701171875,7003.27099609375,199.06150817871094
2022-12-01,3088.7607421875,902.2322387695312,665.3675537109375,1030.89794921875,1579.568603515625,2577.179931640625,924.564697265625,1551.8583984375,310.9870910644531,1930.5927734375,2049.9287109375,8791.595703125,1956.781494140625,155.1802215576172,1256.802490234375,575.121826171875,1019.7257080078125,3329.980712890625,7198.21875,202.38818359375
2022-12-02,3053.88330078125,903.530029296875,658.2678833007812,1030.126708984375,1567.474365234375,2530.96630859375,915.1243286132812,1533.8778076171875,308.7889709472656,1927.099365234375,2031.662841796875,8651.94140625,1927.6680908203125,153.71163940429688,1256.271728515625,574.6016845703125,1013.4404907226562,3295.01025390625,7161.6533203125,201.752197265625
2022-12-05,3066.949951171875,897.5906372070312,656.7592163085938,1025.8629150390625,1573.1800537109375,2535.563232421875,918.074462890625,1535.6104736328125,308.4226379394531,1934.7347412109375,2031.7603759765625,8628.583984375,1927.765625,155.1802215576172,1237.9501953125,583.8229370117188,1012.8558959960938,3282.31591796875,7123.60400390625,201.7277374267578
2022-12-06,3071.61328125,903.0308837890625,660.51611328125,1016.8822631835938,1571.4244384765625,2569.14697265625,907.3065795898438,1510.4656982421875,308.9263000488281,1931.540771484375,2039.4564208984375,8555.271484375,1943.2740478515625,156.2991180419922,1241.52685546875,575.92578125,1007.1552734375,3243.465576171875,7166.60107421875,201.238525390625
2022-12-07,3134.567138671875,913.0130004882812,653.2833862304688,1003.2293090820312,1570.74169921875,2620.248291015625,906.81494140625,1503.5355224609375,311.4908752441406,1907.786376953125,2069.169189453125,8498.1552734375,1943.2496337890625,154.58580017089844,1223.205322265625,574.1288452148438,991.7587280273438,3238.91455078125,7087.58349609375,198.76797485351562
2022-12-08,3129.660888671875,937.6687622070312,649.0186767578125,999.1018676757812,1579.568603515625,2618.4091796875,916.4027099609375,1517.2552490234375,309.9338684082031,1893.3641357421875,2111.740966796875,8521.2666015625,1932.9530029296875,152.31295776367188,1222.62841796875,578.4793090820312,955.7523803710938,3210.12353515625,7104.25732421875,197.49603271484375
2022-12-09,3135.004150390625,932.0288696289062,642.6586303710938,932.10791015625,1590.8338623046875,2634.668701171875,914.43603515625,1469.634765625,312.68145751953125,1884.431396484375,2098.443115234375,8453.2060546875,1975.5445556640625,151.89337158203125,1204.0992431640625,583.0663452148438,967.49462890625,3154.746337890625,7003.66650390625,192.7751007080078
2022-12-12,3076.130859375,936.9700317382812,641.5789184570312,932.9244384765625,1603.2205810546875,2629.829833984375,914.8292846679688,1448.938232421875,314.3301086425781,1862.174072265625,2107.843994140625,8498.7431640625,1999.5145263671875,150.73951721191406,1205.9451904296875,579.8034057617188,962.1837768554688,3148.71044921875,7072.39306640625,193.90029907226562
2022-12-13,3087.934326171875,942.9093017578125,652.780517578125,947.7111206054688,1607.658447265625,2623.103515625,917.435302734375,1472.3038330078125,316.5282287597656,1864.9188232421875,2116.806640625,8460.4189453125,1989.847412109375,151.2639923095703,1211.4371337890625,583.3027954101562,969.2486572265625,3192.447021484375,7150.025390625,194.585205078125
2022-12-14,3056.31201171875,940.7133178710938,656.2415771484375,958.1434936523438,1621.2645263671875,2598.2783203125,906.4215087890625,1479.0931396484375,316.344970703125,1869.6097412109375,2138.774169921875,8480.9306640625,1958.147705078125,153.2920379638672,1207.0528564453125,591.5782470703125,974.70556640625,3224.3037109375,7122.56494140625,195.71038818359375
2022-12-15,3041.3994140625,936.470947265625,653.3030395507812,945.5792236328125,1591.5653076171875,2577.56689453125,893.6868286132812,1442.6636962890625,310.345947265625,1859.6287841796875,2121.336669921875,8424.5498046875,1926.365234375,151.2989501953125,1189.9080810546875,582.5462036132812,976.6058349609375,3166.57861328125,7039.7861328125,193.33770751953125
2022-12-16,2968.82763671875,933.4263305664062,650.4927978515625,934.0584106445312,1599.2218017578125,2585.35791015625,887.0,1425.5260009765625,306.91143798828125,1837.0224609375,2118.852294921875,8328.02734375,1926.4481201171875,149.0960693359375,1184.02392578125,570.6294555664062,968.2742919921875,3104.446533203125,6941.0263671875,190.67147827148438
